"date","site","id","shoot.length","shoot.width","blades","biomass.shoot","microepiphyte.filter","macroepiphyte.shoot","smithora","year","microepiphyte","bryozoan","shoot.rep","sheath.length"
2016-07-08,"pruth bay","8",66.9,0.7,6,NA,19.7,NA,NA,2016,1.05,NA,"3",NA
2016-07-08,"pruth bay","9",90.2,0.8,7,NA,24.8,NA,NA,2016,1.22,NA,"3",NA
2017-07-05,"pruth pocket","1",35.8,0.3,NA,NA,NA,NA,NA,2017,0.21,NA,NA,8.2
2017-07-05,"pruth pocket","2",44.6,0.4,NA,NA,NA,NA,NA,2017,0.37,NA,NA,7.2
2017-07-05,"pruth pocket","3",43.8,0.3,NA,NA,NA,NA,NA,2017,0.21,NA,NA,10.3
2017-07-05,"pruth pocket","4",40.6,0.4,NA,NA,NA,NA,NA,2017,0.34,NA,NA,7.4
2017-07-05,"pruth pocket","5",34,0.4,NA,NA,NA,NA,NA,2017,0.21,NA,NA,4.6
2017-07-05,"pruth pocket","6",38,0.4,NA,NA,NA,NA,NA,2017,0.25,NA,NA,8.8
2017-07-05,"pruth pocket","7",40.1,0.4,NA,NA,NA,NA,NA,2017,0.25,NA,NA,10
2017-07-05,"pruth pocket","8",56.4,0.6,NA,NA,NA,NA,NA,2017,0.57,NA,NA,9.8
2017-07-05,"pruth pocket","9",28.6,0.3,NA,NA,NA,NA,NA,2017,0.22,NA,NA,6.8
2017-07-04,"inner choked i5","1",158.2,0.8,NA,NA,NA,NA,NA,2017,1.43,NA,NA,31.8
2017-07-04,"inner choked i5","2",134,0.7,NA,NA,NA,NA,NA,2017,1.07,NA,NA,31
2017-07-04,"inner choked i5","3",135,0.8,NA,NA,NA,NA,NA,2017,1.23,NA,NA,26.5
2017-07-04,"inner choked i5","4",144,0.8,NA,NA,NA,NA,NA,2017,1.71,NA,NA,39.8
2017-07-04,"inner choked i5","5",129.4,0.8,NA,NA,NA,NA,NA,2017,1.88,NA,NA,25
2017-07-04,"inner choked i5","6",133,1,NA,NA,NA,NA,NA,2017,2.04,NA,NA,38
2017-07-04,"inner choked i5","7",119,1,NA,NA,NA,NA,NA,2017,2.69,NA,NA,23.3
2017-07-04,"inner choked i5","8",145.1,0.7,NA,NA,NA,NA,NA,2017,1.18,NA,NA,32.8
2017-07-04,"inner choked i5","9",190,0.8,NA,NA,NA,NA,NA,2017,2.07,NA,NA,40
2017-07-01,"pruth bay","1",48,0.4,NA,NA,NA,NA,NA,2017,0.38,NA,NA,13
2017-07-01,"pruth bay","2",41.4,0.4,NA,NA,NA,NA,NA,2017,0.24,NA,NA,8.5
2017-07-01,"pruth bay","3",25,0.3,NA,NA,NA,NA,NA,2017,0.03,NA,NA,6
2017-07-01,"pruth bay","4",36.1,0.4,NA,NA,NA,NA,NA,2017,0.15,NA,NA,8.2
2017-07-01,"pruth bay","5",65,0.5,NA,NA,NA,NA,NA,2017,0.52,NA,NA,15
2017-07-01,"pruth bay","6",51,0.3,NA,NA,NA,NA,NA,2017,0.21,NA,NA,13
2017-07-01,"pruth bay","7",29,0.4,NA,NA,NA,NA,NA,2017,0.16,NA,NA,7
2017-07-01,"pruth bay","8",42,0.4,NA,NA,NA,NA,NA,2017,0.18,NA,NA,9.5
2017-07-01,"pruth bay","9",43,0.4,NA,NA,NA,NA,NA,2017,0.31,NA,NA,9
2017-07-02,"sand spit","1",88.1,0.6,NA,NA,NA,NA,NA,2017,0.46,NA,NA,19
2017-07-02,"sand spit","2",156.5,0.7,NA,NA,NA,NA,NA,2017,1.23,NA,NA,37
2017-07-02,"sand spit","3",197.8,0.8,NA,NA,NA,NA,NA,2017,2.42,NA,NA,44.8
2017-07-02,"sand spit","4",103.8,0.8,NA,NA,NA,NA,NA,2017,0.98,NA,NA,37
2017-07-02,"sand spit","5",93.2,0.65,NA,NA,NA,NA,NA,2017,0.96,NA,NA,45.6
2017-07-02,"sand spit","6",134,0.7,NA,NA,NA,NA,NA,2017,0.88,NA,NA,32.2
2017-07-02,"sand spit","7",117.6,0.8,NA,NA,NA,NA,NA,2017,0.97,NA,NA,23
2017-07-02,"sand spit","8",145.2,0.6,NA,NA,NA,NA,NA,2017,0.92,NA,NA,29.8
2017-07-02,"sand spit","9",140,0.7,NA,NA,NA,NA,NA,2017,1.53,NA,NA,33.2
2017-06-29,"triquet north","1",158,0.8,NA,NA,NA,NA,NA,2017,3.69,NA,NA,30.5
2017-06-29,"triquet north","2",109,1,NA,NA,NA,NA,NA,2017,2.98,NA,NA,21
2017-06-29,"triquet north","3",51.5,0.8,NA,NA,NA,NA,NA,2017,0.91,NA,NA,13
2017-06-29,"triquet north","4",40,0.4,NA,NA,NA,NA,NA,2017,0.16,NA,NA,10
2017-06-29,"triquet north","5",75.5,0.6,NA,NA,NA,NA,NA,2017,0.6,NA,NA,16
2017-06-29,"triquet north","6",57.5,0.4,NA,NA,NA,NA,NA,2017,0.35,NA,NA,12
2017-06-29,"triquet north","7",48.5,0.8,NA,NA,NA,NA,NA,2017,0.46,NA,NA,13
2017-06-29,"triquet north","8",90,0.6,NA,NA,NA,NA,NA,2017,1.2,NA,NA,17
2017-06-29,"triquet north","9",125.2,0.6,NA,NA,NA,NA,NA,2017,1.67,NA,NA,26.5
2017-06-29,"triquet bay","1",34,0.6,NA,NA,NA,NA,NA,2017,0.25,NA,NA,11
2017-06-29,"triquet bay","2",48,0.4,NA,NA,NA,NA,NA,2017,-0.2,NA,NA,9
2017-06-29,"triquet bay","3",43,0.5,NA,NA,NA,NA,NA,2017,0.31,NA,NA,8.5
2017-06-29,"triquet bay","4",123,1,NA,NA,NA,NA,NA,2017,1.87,NA,NA,30
2017-06-29,"triquet bay","5",28,0.5,NA,NA,NA,NA,NA,2017,0.12,NA,NA,10
2017-06-29,"triquet bay","6",84,0.8,NA,NA,NA,NA,NA,2017,1.34,NA,NA,19.5
2017-06-29,"triquet bay","7",102,0.8,NA,NA,NA,NA,NA,2017,2.01,NA,NA,26
2017-06-29,"triquet bay","8",88,1,NA,NA,NA,NA,NA,2017,1.93,NA,NA,20.5
2017-06-29,"triquet bay","9",79,1,NA,NA,NA,NA,NA,2017,1.26,NA,NA,19
2018-06-28,"pruth pocket","1",57.2,0.4,NA,NA,NA,NA,NA,2018,0.29,NA,NA,12
2018-06-28,"pruth pocket","2",66.4,0.6,NA,NA,NA,NA,NA,2018,0.55,NA,NA,14
2018-06-28,"pruth pocket","3",71.5,0.5,NA,NA,NA,NA,NA,2018,0.6,NA,NA,15.8
2018-06-28,"pruth pocket","4",63,0.6,NA,NA,NA,NA,NA,2018,0.5,NA,NA,11.6
2018-06-28,"pruth pocket","5",38.8,0.5,NA,NA,NA,NA,NA,2018,0.21,NA,NA,10.2
2018-06-28,"pruth pocket","6",32.4,0.4,NA,NA,NA,NA,NA,2018,0.2,NA,NA,6.8
2018-06-28,"pruth pocket","7",100.2,0.6,NA,NA,NA,NA,NA,2018,1.21,NA,NA,23.4
2018-06-28,"pruth pocket","8",64,0.3,NA,NA,NA,NA,NA,2018,0.22,NA,NA,18.4
2018-06-28,"pruth pocket","9",51.2,0.4,NA,NA,NA,NA,NA,2018,0.35,NA,NA,11.2
2018-06-27,"inner choked i5","1",147.6,0.8,NA,NA,NA,NA,NA,2018,2.49,NA,NA,37.5
2018-06-27,"inner choked i5","2",215.9,0.8,NA,NA,NA,NA,NA,2018,3.93,NA,NA,46.5
2018-06-27,"inner choked i5","3",186,0.9,NA,NA,NA,NA,NA,2018,2.82,NA,NA,36.8
2018-06-27,"inner choked i5","4",119.8,0.8,NA,NA,NA,NA,NA,2018,1.04,NA,NA,26.2
2018-06-27,"inner choked i5","5",200,0.8,NA,NA,NA,NA,NA,2018,3.02,NA,NA,48
2018-06-27,"inner choked i5","6",53,0.6,NA,NA,NA,NA,NA,2018,0.32,NA,NA,15
2018-06-27,"inner choked i5","7",106.5,0.7,NA,NA,NA,NA,NA,2018,1.17,NA,NA,30.5
2018-06-27,"inner choked i5","8",195.5,0.9,NA,NA,NA,NA,NA,2018,3.37,NA,NA,46.2
2018-06-27,"inner choked i5","9",84.5,0.6,NA,NA,NA,NA,NA,2018,0.64,NA,NA,19.6
2018-06-22,"pruth bay","1",86.5,0.5,NA,NA,NA,NA,NA,2018,0.77,NA,NA,18.5
2018-06-22,"pruth bay","2",41.4,0.4,NA,NA,NA,NA,NA,2018,0.24,NA,NA,7
2018-06-22,"pruth bay","3",53.5,0.6,NA,NA,NA,NA,NA,2018,0.56,NA,NA,13.8
2018-06-22,"pruth bay","4",35.3,0.3,NA,NA,NA,NA,NA,2018,0.15,NA,NA,7.8
2018-06-22,"pruth bay","5",43,0.4,NA,NA,NA,NA,NA,2018,0.21,NA,NA,7.9
2018-06-22,"pruth bay","6",60.3,0.4,NA,NA,NA,NA,NA,2018,0.35,NA,NA,10.8
2018-06-22,"pruth bay","7",45.8,0.4,NA,NA,NA,NA,NA,2018,0.26,NA,NA,5.8
2018-06-22,"pruth bay","8",53.5,0.4,NA,NA,NA,NA,NA,2018,0.33,NA,NA,11.1
2018-06-22,"pruth bay","9",45.3,0.4,NA,NA,NA,NA,NA,2018,0.32,NA,NA,10.6
2018-06-23,"sand spit","1",114.6,1,NA,NA,NA,NA,NA,2018,2.45,NA,NA,23.2
2018-06-23,"sand spit","2",84.7,0.6,NA,NA,NA,NA,NA,2018,0.47,NA,NA,13.8
2018-06-23,"sand spit","3",121.8,1,NA,NA,NA,NA,NA,2018,1.9,NA,NA,25
2018-06-23,"sand spit","4",82.4,0.9,NA,NA,NA,NA,NA,2018,1.27,NA,NA,15.6
2018-06-23,"sand spit","5",126,0.8,NA,NA,NA,NA,NA,2018,1.47,NA,NA,32
2018-06-23,"sand spit","6",136.2,1,NA,NA,NA,NA,NA,2018,1.9,NA,NA,27.4
2018-06-23,"sand spit","7",152,0.9,NA,NA,NA,NA,NA,2018,2.74,NA,NA,25
2018-06-23,"sand spit","8",156.6,0.9,NA,NA,NA,NA,NA,2018,1.49,NA,NA,38.4
2018-06-23,"sand spit","9",133.5,0.9,NA,NA,NA,NA,NA,2018,1.47,NA,NA,30
2018-07-01,"triquet north","1",39.8,0.5,NA,NA,NA,NA,NA,2018,0.34,NA,NA,9.3
2018-07-01,"triquet north","2",104.5,0.7,NA,NA,NA,NA,NA,2018,0.71,NA,NA,23.5
2018-07-01,"triquet north","3",140.5,1,NA,NA,NA,NA,NA,2018,2.83,NA,NA,25.6
2018-07-01,"triquet north","4",143.5,1,NA,NA,NA,NA,NA,2018,2.06,NA,NA,31.5
2018-07-01,"triquet north","5",79,0.7,NA,NA,NA,NA,NA,2018,0.67,NA,NA,16.5
2018-07-01,"triquet north","6",146.8,0.9,NA,NA,NA,NA,NA,2018,2.68,NA,NA,31.2
2018-07-01,"triquet north","7",54.8,0.5,NA,NA,NA,NA,NA,2018,0.38,NA,NA,15
2018-07-01,"triquet north","8",144,1,NA,NA,NA,NA,NA,2018,2.13,NA,NA,35
2018-07-01,"triquet north","9",104.5,0.9,NA,NA,NA,NA,NA,2018,1.16,NA,NA,22.5
2018-07-02,"triquet bay","1",115.5,0.9,NA,NA,NA,NA,NA,2018,1.61,NA,NA,22.5
2018-07-02,"triquet bay","2",85.4,0.7,NA,NA,NA,NA,NA,2018,0.86,NA,NA,14.5
2018-07-02,"triquet bay","3",128.9,0.6,NA,NA,NA,NA,NA,2018,1.42,NA,NA,28.6
2018-07-02,"triquet bay","4",80,0.8,NA,NA,NA,NA,NA,2018,1.01,NA,NA,17.2
2018-07-02,"triquet bay","5",98.5,0.9,NA,NA,NA,NA,NA,2018,1.83,NA,NA,22
2018-07-02,"triquet bay","6",44.5,0.7,NA,NA,NA,NA,NA,2018,0.43,NA,NA,11
2018-07-02,"triquet bay","7",55,0.5,NA,NA,NA,NA,NA,2018,0.5,NA,NA,10.5
2018-07-02,"triquet bay","8",109.5,0.8,NA,NA,NA,NA,NA,2018,1.82,NA,NA,21.5
2018-07-02,"triquet bay","9",62,0.6,NA,NA,NA,NA,NA,2018,0.57,NA,NA,13.3
