"site_quadrat_id","SampleID","year","region","site","meso_quadrat_id","Bacillariophyceae","Thraustochytriaceae","Peronosporomycetes_uncultured","Prorocentrales","Fragilariales","Cercozoa_Novel_Clade_Gran-1","Monogononta","Vampyrellidae","Suctoria","Peritrichia","Salpingoecidae","Coscinodiscophytina","Craspedida","Labyrinthulaceae","Heterotrichea","Ulotrichales","Centrohelida_H15-6","Chytridiaceae","Pedinellales","Dactylopodida","Centrohelida_CV1-B1-93","Lobulomycetaceae","Chrysomerophyceae","Cercozoa_Incertae_Sedis","Cercozoa_Novel_Clade_Gran-3","Melosirids","Oligohymenophorea","Sarcinochrysidales","Cercozoa","Cyrtophoria","Olpidiopsis","Copepoda","Prymnesium","Gymnodiniphycidae"
"triquet_south_1","ZosTQSoldB17",2017,"triquet","triquet_south","1",4,19,22,692,18,0,0,89,0,22,0,0,0,6,0,15,14,0,29,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
"triquet_south_3","ZosTQSoldC17",2017,"triquet","triquet_south","3",0,55,21,365,4,0,0,6,0,19,0,0,3,5,0,0,0,4,306,0,0,0,3,0,0,0,0,0,0,0,0,32,0,0
"triquet_south_5","ZosTQSolEE17",2017,"triquet","triquet_south","5",45,21,15,30,77,6,0,640,4,25,4,28,7,0,0,2,16,0,0,0,1,0,6,0,4,0,0,0,0,0,0,20,0,0
"choked_inner_1","ZosCIoldA18",2018,"choked","choked_inner","1",28,7,1,0,2,0,7,0,784,0,1,31,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,13,0,0
"choked_inner_2","ZosCIoldB18",2018,"choked","choked_inner","2",14,3,0,0,0,0,0,0,972,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"choked_inner_3","ZosCIoldC18",2018,"choked","choked_inner","3",3,1,0,0,0,0,0,0,971,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"choked_inner_4","ZosCIoldD18",2018,"choked","choked_inner","4",5,3,0,0,0,0,0,0,983,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"choked_inner_5","ZosCIoldE18",2018,"choked","choked_inner","5",0,0,0,0,0,0,0,0,841,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,47,0,0
"choked_inner_6","ZosCIoldF18",2018,"choked","choked_inner","6",17,2,0,0,0,0,6,0,944,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0
"choked_sandspit_3","ZosCSSoldC18",2018,"choked","choked_sandspit","3",18,6,0,0,15,0,3,0,138,0,0,5,0,14,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,122,454,0,0
"choked_sandspit_4","ZosCSSoldD18",2018,"choked","choked_sandspit","4",25,50,0,0,1,0,77,0,548,1,0,42,5,79,0,0,0,0,0,2,0,12,3,0,0,0,0,0,0,0,11,4,0,0
"choked_sandspit_6","ZosCSSoldF18",2018,"choked","choked_sandspit","6",16,34,0,0,0,2,13,0,805,2,0,1,2,22,0,0,0,0,0,0,0,32,4,0,0,0,0,0,0,0,22,29,0,0
"pruth_bay_1","ZosPBSoldA18",2018,"pruth","pruth_bay","1",110,55,172,0,0,19,0,0,18,16,39,43,11,5,5,0,0,0,0,15,11,155,0,49,0,0,0,0,12,148,0,4,10,0
"pruth_bay_2","ZosPBSoldB18",2018,"pruth","pruth_bay","2",107,23,107,20,0,74,0,10,14,0,25,68,9,7,0,0,0,0,0,13,123,319,0,33,0,0,0,0,0,4,0,0,14,0
"pruth_bay_3","ZosPBSoldC18",2018,"pruth","pruth_bay","3",105,26,285,0,0,55,8,63,33,0,55,204,38,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,21,0
"pruth_bay_4","ZosPBSoldD18",2018,"pruth","pruth_bay","4",223,74,70,0,29,58,0,1,0,5,34,135,2,51,0,0,1,0,4,12,26,83,0,23,2,0,0,0,1,2,0,0,28,0
"pruth_bay_5","ZosPBSoldE18",2018,"pruth","pruth_bay","5",64,1,6,0,12,84,0,0,79,51,0,88,0,0,0,0,0,0,0,0,12,270,0,16,5,0,15,0,0,0,0,0,208,0
"pruth_pocket_1","ZosPBPoldA18",2018,"pruth","pruth_pocket","1",40,13,8,11,73,89,0,484,1,0,40,106,55,3,11,0,1,4,0,3,2,0,0,1,0,0,2,0,3,17,0,15,0,0
"pruth_pocket_2","ZosPBPoldB18",2018,"pruth","pruth_pocket","2",67,42,11,216,80,79,0,32,0,1,31,150,42,0,93,0,1,38,0,14,24,0,0,5,0,0,5,0,7,0,0,2,2,9
"pruth_pocket_3","ZosPBPoldC18",2018,"pruth","pruth_pocket","3",141,32,7,22,52,108,1,3,1,0,21,276,31,1,171,0,0,0,0,3,40,0,0,11,0,0,0,0,2,0,0,33,8,0
"pruth_pocket_4","ZosPBPoldD18",2018,"pruth","pruth_pocket","4",143,1,6,100,82,14,0,111,134,0,40,74,12,30,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,33,0,0
"triquet_north_1","ZosTQNoldA18",2018,"triquet","triquet_north","1",89,5,21,0,3,11,0,0,0,0,0,0,0,0,787,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,55,0,0
"triquet_north_2","ZosTQNoldB18",2018,"triquet","triquet_north","2",6,1,6,531,21,5,9,0,0,3,0,0,0,0,7,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,398,0,0
"triquet_north_3","ZosTQNoldC18",2018,"triquet","triquet_north","3",23,2,6,64,5,0,1,8,0,2,1,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,774,0,0
