sample_names(all_years_16S_filtered),year,growth
ZosTQSoldD16,2016,old
ZosTQSoldD17,2017,old
ZosTQSoldD18,2018,old
ZosTQSoldE,2015,old
ZosTQSoldE16,2016,old
ZosTQSoldE18,2018,old
ZosTQSoldF,2015,old
ZosTQSoldF16,2016,old
ZosTQSoldF18,2018,old
ZosTQSoldG16,2016,old
ZosTQSoldH16,2016,old
ZosTQSrhrA17,2017,NA
ZosTQSrhrA18,2018,NA
ZosTQSrhrB18,2018,NA
ZosTQSrhrC17,2017,NA
ZosTQSrhrC18,2018,NA
ZosTQSrhrD17,2017,NA
ZosTQSrhrD18,2018,NA
ZosTQSrhrE17,2017,NA
ZosTQSrhrE18,2018,NA
ZosTQSrhrF18,2018,NA
